Track Name,Artist Name,URI,Lyrics
"Part of Your World - From ""The Little Mermaid""",Halle,spotify:track:2pcSENGQmdptFCBQ3HpKHe,"['For the First Time in\u2005Forever (Reprise)', 'We Know Better (Outtake)', 'More Than Just a Spare (Outtake)', ""Life's\u205fToo\u205fShort\u205f(Outtake)"", ""Life's Too Short\u205f(Reprise) (Outtake)Frozen 2Some\u205fThings Never Change"", 'The Next Right Thing', 'Home (Outtake)', 'I Seek The Truth (Outtake)', ""Get This Right (Outtake)ShortsFrozen FeverMaking Today a Perfect Day For YouOlaf's Frozen AdventureRing in the Season"", ""When We're Together"", 'Ring in the Season (Reprise)BroadwayA Little Bit of You', 'Do You Want to Build a Snowman?', 'For the First Time in Forever', 'Love Is An Open Door', 'What Do You Know About Love?', 'Hygge', 'For the First Time in Forever (Reprise)', 'True Love', 'Colder by the Minute', 'Finale/Let It Go', 'When Everything Falls Apart (Outtake)ArielMoviesThe Little MermaidPart Of Your World', 'Part Of Your World (Reprise)The Little Mermaid II: Return to the SeaDown to the Sea', ""For a MomentThe Little Mermaid: Ariel's BeginningI Remember"", 'Jump in the Line (a cappella version)The Little Mermaid (2023 Live Action)Part Of Your World', 'Part Of Your World Reprise', 'Under the Sea', 'For the First Time', 'Part of Your World (Reprise II)BroadwayThe Little MermaidThe World Above', 'Part Of Your World', 'Part Of Your World (Reprise)', 'The World Above (Triton Reprise)', 'Beyond My Wildest Dreams', 'If Only (Quartet)', 'If Only (Reprise)', 'FinaleTVThe Little MermaidIn Harmony', 'You Got to Be You', 'Sing a New Song', 'Just a Little Love', 'Daring to Dance', 'The Edge of the Edge of the SeaTV FilmPart of Your World', 'Part of Your World (Reprise)', 'If OnlyOtherOne Dance', 'The Sea Kingdom', 'Home Is', 'Just a Little Love', ""What's It Like To Be A Mermaid?"", ""At the Mermaids' Ball"", 'Party With Me', 'My Room In The Sea', 'Dreaming', 'H2O, What a Feeling!', 'We Share the Earth', 'Where Mermaids Dwell', 'In My Blue Backyard', 'Home Is', 'I Just Love Getting Dressed For Tea', 'Manners and Etiquette', 'Dancing Mood', 'Happy Birthday Princess', ""Ariel's Sing-Along Sea Song: The Crab Song"", 'The Princess Dance', 'Christmas is Coming', 'The Twelve Days of Princess', ""Ariel's Christmas Island"", 'Christmas in the Ocean', 'Beauty of the Season', 'The Best Christmas of AllAurora (Briar Rose/Sleeping Beauty)MoviesSleeping BeautyDo You Hear That/I Wonder', 'Once Upon a DreamDisney Princess Enchanted Tales: Follow Your Dreams (2007)Keys to the Kingdom', 'Keys to the Kingdom (Reprise)OtherMy Birthday Wish', 'Waiting For My Prince', 'A Rose is a Rose', 'The Princess Dance', 'Christmas is Coming', 'The Twelve Days of Princess', 'Christmas With My Prince', 'Beauty of the Season', 'When You Love Someone (Unused Song)BelleMoviesBeauty and the Beast (1991)Belle', 'Belle (Reprise)', 'Something ThereBeauty and the Beast: The Enchanted ChristmasStories', ""As Long As There's Christmas"", ""As Long As There's Christmas (Reprise)"", 'A Cut Above the Rest', 'We Wish You a Merry Christmas', 'Do You Hear What I Hear', 'O Come, O Come, Emmanuel/Joy To The World', 'O Christmas Tree', 'The First Noel', 'What Child Is This', 'The Twelve Days of Christmas', 'Silent Night', 'Deck the HallsBeauty and the Beast (2017)Belle', 'Belle (Reprise)', 'Something There', 'How Does a Moment Last Forever (Montmarte)BroadwayBeauty and The BeastBelle', 'No Matter What', 'Me', 'Belle (Reprise)', 'Home', 'Something There', 'End Duet/Transformation', ""A Change in MeDisney Cruise Show[?]TVSofia The FirstMake It RightSing Me A Story With BelleSing Me A StoryOtherBelle's Adventure"", 'The Princess Dance', 'The Perfect Princess Tea', ""So Very Glad You're Here"", 'I See a Princess', 'Christmas is Coming', 'The Twelve Days of Princess', 'Holidays at Home', 'The Christmas Waltz', 'Beauty of the Season', 'The Best Christmas of AllCinderellaMoviesCinderella (1950)A Dream Is a Wish Your Heart Makes', 'So This Is Love', ""I'm In The Middle of a Muddle (Demo)"", 'Dancing on a Cloud (Demo)', 'The Cinderella Work Song (Demo)', 'The Dress That My Mother Wore (Demo)Cinderella III: A Twist in Time (2007)Perfectly Perfect', 'More Than a Dream', 'More Than a Dream (Reprise)Cinderella (2015)Lavender Blue (Dilly, Dilly)TV ShowsSofia The FirstTrue SistersLive ShowsTwice CharmedAll Because of a Shoe', 'In a Moment', 'Believe in MeOtherThe Princess Dance', ""It's Your Birthday"", ""I'm Happy"", 'Every Girl Can Be a Princess', 'Christmas is Coming', 'The Twelve Days of Princess', ""It's the Most Wonderful Time of the Year"", ""Beauty of the SeasonElenaTV ShowsElena of AvalorElsaMoviesFrozenFrozen 2ShortsFrozen FeverOlaf's Frozen AdventureBroadwayFrozenGiselleMoviesEnchanted (2007)True Love's Kiss"", 'Happy Working Song', ""That's How You KnowJasmineMoviesAladdin (1992)A Whole New World"", 'Call Me a Princess (Demo)The Return of JafarNothing in the World (Quite Like a Friend)', ""Forget About LoveAladdin and the King of ThievesThere's a Party Here in Agrabah"", 'Out of Thin AirDisney Princess Enchanted Tales: Follow Your Dreams (2007)More Than a Peacock Princess', ""I've Got My Eyes On YouAladdin (2019)Speechless"", 'A Whole New World', 'Dessert MoonLive ShowsAladdinThese Palace Walls', 'A Whole New WorldAladdin: A Musical SpectacularTo Be FreeOtherMusical Chairs', 'Beauty of the Season', 'The Best Christmas of AllTV ShowsSofia The FirstRide of Our LivesMoanaMovies', 'MoanaMulanMovies', 'Mulan', 'Reflection', ""I'll Make a Man Out of You"", 'A Girl Worth Fighting For', 'Mulan II', 'Lesson Number One', 'Other', ""Mulan's Trip"", 'Cups and Saucers', 'The Holly and the IvyPocahontasMoviesPocahontasJust Around the Riverbend', 'Colors of the Wind', 'Savages, pt 2.', 'Different Drummer (Demo)', 'Dancing to the Wedding Drum (Demo)Pocahontas IIWhere Do I Go From Here', 'What a Day in London', 'Between Two WorldsOtherThese Moments We Share', 'If You Can Dream', 'Silver and GoldRapunzelMoviesTangledWhen Will My Life Begin', 'When Will My Life Begin (Reprise 1)', 'When Will My Life Begin (Reprise 2)', ""I've Got a Dream"", 'I See the Light', ""Healing IncantationTVRapunzel's Tangled AdventureLife After Happily Ever After"", 'Wind In My Hair', 'Wind In My Hair (Reprise)', ""I've Got This"", 'Set Yourself Free', 'The Girl Who Has Everything', 'The Girl Who Has Everything (Reprise)', 'Next Stop, Anywhere', 'If I Could Take That Moment Back', 'With You by My Side', 'The View From Up Here', ""I'd Give Anything"", 'Stronger Than Ever Before', 'Through It All', 'Life After Happily Ever After (Finale)', 'Disney Cruise ShowSnow WhiteMovies', 'Snow White', ""I'm Wishing"", 'With a Smile and a Song', 'Whistle While You Work', 'Some Day My Prince Will Come', 'Other', 'The Way To Bake (a Birthday Cake)', 'Dare to Dream', 'The Princess Dance', 'Christmas is Coming', 'The Twelve Days of Princess', 'Have a Holly Jolly Christmas', 'Christmas Eve Dinner', 'Beauty of the SeasonSofia the FirstTV Movies', 'TV series', 'Sofia the FirstTianaMoviesThe Princess and the FrogDown in New Orleans (Prolouge)', 'Almost There', ""When We're Human"", 'Ray Laid Low', 'Down In New Orleans (Finale)TV ShowsSofia The FirstFrom the HeartOtherEveryday Princess']"
How Far I'll Go,Auli'i Cravalho,spotify:track:6mb6lVLNrcUgLnEN8QnDJd,"['I wish I could be the perfect daughter', 'But I come back to the water, no matter how hard I try', 'Every turn I take, every trail I track', 'Every path I make, every road leads back', 'To the place I know where I cannot go', 'Where I long to be', 'See the line where the sky meets the sea? It calls me', 'And no one knows, how far it goes', 'If the wind in my sail on the sea stays behind me', ""One day I'll know"", ""If I go there's just no telling how far I'll go"", 'I know everybody on this island seems so happy, on this island', 'Everything is by design', 'I know everybody on this island has a role, on this island', 'So maybe I can roll with mine', 'I can lead with pride, I can make us strong', ""I'll be satisfied if I play along"", 'But the voice inside sings a different song', 'What is wrong with me?', ""See the light as it shines on the sea? It's blinding"", 'But no one knows, how deep it goes', ""And it seems like it's calling out to me, so come find me"", 'And let me know', ""What's beyond that line, will I cross that line?"", 'See the line where the sky meets the sea? It calls me', 'And no one knows, how far it goes', 'If the wind in my sail on the sea stays behind me', ""One day I'll know""]"
Un Poco Loco,Anthony Gonzalez,spotify:track:0OFknyqxmSQ42SoKxWVTok,"['Where should I put my shoes? Ay, mi amor, ay, mi amor', 'You say, ""Put them on your head!"", ay, mi amor, ay, mi amor', 'You make me un poco loco, un poquititito loco', ""The way you keep me guessing, I'm nodding and I'm yes-ing"", ""I'll count it as a blessing that I'm only un poco loco"", 'The loco that you make me, it is just un poco crazy', ""The sense that you're not making"", ""The liberties you're taking"", 'Leaves my cabeza shaking', ""You're just un poco loco"", ""He's just un poco crazy, leaves my cabeza shaking"", ""He's just un poco crazy, leaves my cabeza shaking"", ""He's just un poco crazy, leaves my cabeza shaking"", ""He's just un poco crazy, leaves my cabeza shaking""]"
Surface Pressure,Jessica Darrow,spotify:track:760jhRscwGbIIe1m1IIQpU,"['I move mountains, I move churches', ""And I glow, 'cause I know what my worth is"", ""I don't ask how hard the work is"", 'Got a rough, indestructible surface', ""Diamonds and platinum, I find 'em, I flatten 'em"", ""I take what I'm handed, I break what's demanded, but"", 'Under the surface', 'I feel berserk as a tightrope walker in a three-ring circus', 'Under the surface', 'Was Hercules ever like, ""Yo, I don\'t wanna fight Cerberus?""', 'Under the surface', ""I'm pretty surе I'm worthless if I can't be of servicе"", 'A flaw or a crack, the straw in the stack', ""That breaks the camel's back"", ""What breaks the camel's back, it's"", ""Pressure like a drip, drip, drip that'll never stop, whoa"", ""Pressure that'll tip, tip, tip 'til you just go pop, whoa-oh-oh"", ""Give it to your sister, your sister's older"", ""Give her all the heavy things we can't shoulder"", ""Who am I if I can't run with the ball?"", 'If I fall to', ""Pressure like a grip, grip, grip, and it won't let go, whoa"", ""Pressure like a tick, tick, tick 'til it's ready to blow, whoa-oh-oh"", ""Give it to your sister, your sister's stronger"", 'See if she can hang on a little longer', ""Who am I if I can't carry it all?"", 'If I falter', 'Under the surface', ""I hide my nerves and it worsens, I worry somethin' is gonna hurt us"", 'Under the surface', ""The ship doesn't swerve, has it heard how big the iceberg is?"", 'Under the surface', 'I think about my purpose, can I somehow preserve this?', 'Line up the dominoes, a light wind blows', 'You try to stop it tumbling, but on and on it goes', 'But wait, if I could shake the crushing weight of expectations', 'Would that free some room up for joy', 'Or relaxation, or simple pleasure?', 'Instead, we measure this growing pressure', ""Keeps growing, keep going, 'cause all we know is"", ""Pressure like a drip, drip, drip that'll never stop, whoa"", ""Pressure that'll tip, tip, tip 'til you just go pop, whoa-oh-oh"", ""Give it to your sister, it doesn't hurt and"", 'See if she can handle every family burden', 'Watch as she buckles and bends but never breaks', 'No mistakes, just', ""Pressure like a grip, grip, grip, and it won't let go, whoa"", ""Pressure like a tick, tick, tick 'til it's ready to blow, whoa-oh-oh"", 'Give it to your sister and never wonder', ""If the same pressure would've pulled you under"", ""Who am I if I don't have what it takes?"", 'No cracks, no breaks']"
What Else Can I Do?,Diane Guerrero,spotify:track:3XoYqtiWHhsk59frZupImG,"[""It's not symmetrical or perfect"", ""But it's beautiful, and it's mine"", 'What else can I do?', 'Bring it in, bring it in', '(Good talk) Bring it in, bring it in (What else can I do? )', ""(Let's walk) Bring it in, bring it in"", '(Free hugs) Bring it in, bring it in', 'I grow rows and rows of roses', 'Flor de mayo, by the mile', 'I make perfect, practiced poses', 'So much hides behind my smile', 'What could I do if I just grew what I was feeling in the moment?', ""(Do you know where you're going? Woah!)"", ""What could I do if I just knew it didn't need to be perfect?"", ""It just needed to be? And they'd let me be?"", 'A hurricane of jacarandas', 'Strangling figs (Big)', 'Hanging vines (This is fine)', 'Palma de cera fills the air as I climb', 'And I push through', 'What else can I do?', 'Can I deliver us a river of sundew?', ""Careful, it's carnivorous, a little just won't do"", 'I wanna feel the shiver of something new', ""I'm so sick of pretty, I want something true, don't you?"", ""You just seem like your life's been a dream (Woah)"", 'Since the moment you opened your eyes', 'How far do these roots go down?', 'All I know are the blossoms you grow (Woah)', ""But it's awesome to see how you rise"", ""How far can I rise? Through the roof, to the skies, let's go!"", 'A hurricane of jacarandas (Whoo!)', 'Strangling figs (Go!)', 'Hanging vines (Grow!)', 'Palma de cera fills the air as I climb', 'And I push through', 'What else, what else?', 'What can you do when you are deeply, madly, truly in the moment?', ""Seize the moment, keep goin'"", 'What can you do when you know who you wanna be is imperfect?', ""But I'll still be okay (Hey, everybody clear the way, whoo!)"", ""I'm coming through with tabebuia (She's coming through with that booyah!)"", 'Making waves (Making waves)', ""Changing minds (You've changed mine)"", ""The way is clearer 'cause you're here, and well"", 'I owe this all to you', ""What else can I do? (Show 'em what you can do)"", ""What else can I do? (There's nothing you can't do)""]"
You're Welcome,Dwayne Johnson,spotify:track:6U4VqEHy4n5VeiH4pQPL24,"[""You don't even know how you feel, it's adorable"", ""Well, it's nice to see that humans never change"", ""Open your eyes, let's begin"", ""Yes, it's really me, it's Maui, breathe it in"", ""I know it's a lot: the hair, the bod"", ""When you're starin' at a demigod"", 'What can I say except ""you\'re welcome""', 'For the tides, the sun, the sky?', ""Hey, it's okay, it's okay, you're welcome"", ""I'm just an ordinary demi-guy"", 'Hey! What has two thumbs and pulled up the sky', 'When you were waddling yay high? This guy', 'When the nights got cold, who stole you fire from down below?', ""You're lookin' at him, yo!"", ""Oh, also I lassoed the sun, you're welcome"", 'To stretch your days and bring you fun', ""Also I harnessed the breeze, you're welcome"", 'To fill your sails and shake your trees', 'So what can I say except ""you\'re welcome""', 'For the islands I pulled from the sea?', ""There's no need to pray, it's okay, you're welcome, ha!"", ""I guess it's just my way of being me"", ""You're welcome, you're welcome"", 'Well, come to think of it', 'Kid, honestly, I could go on and on', 'I could explain every natural phenomenon', 'The tide, the grass, the ground?', ""Oh, that was Maui just messin' around"", 'I killed an eel, I buried its guts', 'Sprouted a tree, now you got coconuts', ""What's the lesson? What is the takeaway?"", ""Don't mess with Maui when he's on a breakaway"", 'And the tapestry here in my skin', 'Is a map of the victories I win', ""Look where I've been, I make everything happen"", ""Look at that mean Mini-Maui just tickety-tappin'"", 'Ha ha ha ha ha hey', 'Well anyway, let me say ""you\'re welcome"" (You\'re welcome...ha ha ha)', 'For the wonderful world you know?', ""Hey, it's okay, it's okay, you're welcome (You're welcome...ha ha ha)"", 'Well, come to think of it, I gotta go', 'Hey, it\'s your day to say ""you\'re welcome"" (You\'re welcome...ha ha ha ha)', ""'Cause I'm gonna need that boat"", ""I'm sailing away, away, you're welcome (You're welcome...ha ha ha ha)"", ""'Cause Maui can do everything but float (You're welcome)"", ""You're welcome (You're welcome)"", ""You're welcome""]"
Under the Sea,Daveed Diggs,spotify:track:7Cux0Rc1hY5Pt5T28apnzv,"[""Life under the sea is better than anything they got goin' on up there"", 'The seaweed is always greener', ""In somebody else's lake"", 'You dream about going up there', 'But that is a big mistake', 'Just look at the world around you', 'Right here on the ocean floor', 'Such wonderful things surround you', ""What more is you lookin' for?"", 'Under the sea, under the sea', ""Darlin', it's better down where it's wettеr"", 'Take it from me', 'Up on the shorе they work all day', 'Out in the sun they slave away', ""While we devotin' full time to floatin'"", 'Under the sea', 'Down here all the fish is happy', 'As off through the waves they roll', ""The fish on the land ain't happy"", ""They sad 'cause they in their bowl"", 'But fish in the bowl is lucky', 'They in for a worser fate', 'One day when the boss get hungry', ""Guess who gon' be on the plate?"", 'Oh, no', 'Under the sea, under the sea', 'Nobody beat us, fry us, and eat us in fricassee', 'We what the land folks love to cook', 'Under the sea we off the hook', 'We got no troubles, life is the bubbles', 'Under the sea (Under the sea)', 'Hey, under the sea (Under the sea)', 'Yes, child', 'Since life is sweet here', 'We got the beat here naturally (Naturally)', ""Even the sturgeon an' the ray"", ""They get the urge an' start to play"", 'We got the spirit, you got to hear it', 'Under the sea', 'Watch this', 'The newt play the flute', 'The carp play the harp', 'The plaice play the bass', ""And they soundin' sharp"", 'The bass play the brass', 'The chub play the tub', 'The fluke is the duke of soul, yeah', 'The ray he can play', ""The ling's on the strings"", ""The trout rockin' out"", 'The blackfish, she sings', 'The smelt and the sprat', ""They know where it's at"", ""An', oh, that blowfish blow"", 'Yeah, under the sea (Under the sea)', 'Under the sea (Under the sea)', 'When the sardine begin the beguine', ""It's music to me (Music is to me)"", 'What do they got?', 'A lot of sand?', 'We got a hot crustacean band, ha', 'Each little clam here', 'Know how to jam here', 'Under the sea', 'Each little slug here', ""Cuttin' a rug here"", 'Under the sea', 'Each little snail here', 'Know how to wail here', ""That's why it's hotter"", 'Under the water', 'Ya, we in luck here', 'Down in the muck here']"
You'll Be In My Heart,Phil Collins,spotify:track:4Y8vb1uy9IjM2V1hqvrAid,"['Just take my hand', 'Hold it tight', 'I will protect you', 'From all around you', 'I will be here', ""Don't you cry"", 'For one so small', 'You seem so strong', 'My arms will hold you', 'Keep you safe and warm', 'This bond between us', ""Can't be broken"", 'I will be here', ""Don't you cry"", ""Cause you'll be in my heart"", ""Yes, you'll be in my heart"", 'From this day on', 'Now and forever more', ""You might also likeYou'll be in my heart"", 'No matter what they say', ""You'll be here in my heart"", 'Always', ""Why can't they understand the way we feel"", ""They just don't trust what they can't explain"", ""I know we're different, but deep inside us"", ""We're not that different at all"", ""And you'll be in my heart"", ""Yes you'll be in my heart"", 'From this day on', 'Now and forever more', ""Don't listen to them"", ""'Cause what do they know"", 'We need each other, to have, to hold', ""They'll see in time, I know"", 'When destiny calls you, you must be strong', 'I may not be with you', ""But you've got to hold on"", ""They'll see in time, I know"", ""We'll show them together"", ""Cause you'll be in my heart"", ""Believe me, you'll be in my heart"", ""I'll be there from this day on"", 'Now and forever more', ""You'll be in my heart (You'll be here in my heart)"", ""No matter what they say (I'll be with you)"", ""You'll be here in my heart (I'll be there)"", 'Always', ""Always I'll be with you"", ""I'll be there for you always"", 'Always and always', 'Just look over your shoulder', 'Just look over your shoulder', 'Just look over your shoulder', ""I'll be there""]"
The Family Madrigal,Stephanie Beatriz,spotify:track:4b1yxSdlumA8N4fEk4UOZp,"['Doors!', ""Let's go!"", ""This is our home, we've got every generation"", 'So full of music, the rhythm of its own design', 'This is my family, a perfect constellation', 'So many stars and everybody gets to shine', ""Woah (Oh-oh-oh-oh), let's be clear, Abuela runs this show"", 'Woah (Oh-oh-oh-oh), she led us here so many years ago', 'Woah (Oh-oh-oh-oh), and every year our family blessings grow!', ""There's just a lot, you simply got to know, so"", 'Welcome to the Family Madrigal', ""The home of the Family Madrigal (We're on our way!)"", 'Wherе all the people arе fantastical and magical', ""I'm part of the Family Madrigal"", 'My tía Pepa, her mood affects the weather', ""When she's unhappy, well, the temperature gets weird"", ""My tío Bruno (We don't talk about Bruno!)"", 'They say he saw the future, one day he disappeared', ""Oh (Oh-oh-oh-oh), and that's my mom Julieta, here's her deal"", 'Woah! (Oh-oh-oh-oh), the truth is, she can heal you with a meal', 'Woah! (Oh-oh-oh-oh), her recipes are remedies for real', ""If you're impressed, imagine how I feel—Mom!"", 'Welcome to the Family Madrigal', 'The home of the Family Madrigal (Hey, coming through!)', 'I know it sounds a bit fantastical and magical', ""But I'm part of the Family Madrigal"", 'Two guys fell in love with Family Madrigal (Hey, Family Madrigal!)', ""And now they're part of the Family Madrigal"", 'So, yeah, Tío Félix married Pepa and my dad married Julieta', ""That's how Abuela became an Abuela Madrigal (Let's go, let's go!)"", 'We swear to always help those around us', 'And earn the miracle that somehow found us', 'The town keeps growing, the world keeps turning', 'But work and dedication will keep the miracle burning', 'And each new generation must keep the miracle burning', ""So many kids in our house, so let's turn the sound up!"", ""You know why? I think it's time for a grandkid round-up!"", '(Grandkid round-up!)', 'Cousin Dolores can hear a pin drop', 'Camilo shapeshifts, Antonio gets his gift today', 'My older sisters, Isabela and Luisa', 'One strong, one graceful, perfect in every way', '(Isabela!) Grows a flower, the town goes wild', ""(Isabela!) She's the perfect golden child"", ""(Luisa! Luisa! Luisa! Luisa!) And Luisa's super strong"", 'The beauty and the brawn do no wrong', ""That's life in the Family Madrigal (Oh-oh-oh-oh)"", 'Now you know the Family Madrigal (Oh-oh-oh-oh)', 'Where all the people are fantastical and magical (Oh-oh-oh-oh)', ""That's who we are in the Family Madrigal"", 'Well, I gotta go, the life of a Madrigal (Oh-oh-oh-oh)', 'But now you all know the Family Madrigal (Oh-oh-oh-oh)', 'I never meant this to get autobiographical (Oh-oh-oh-oh)', ""So just to review the Family Madrigal, let's go"", '(But what about Mirabel?)', 'It starts with Abuela, and then Tía Pepa, she handles the weather', '(But what about Mirabel?)', 'My mom Julieta can make you feel better with just one arepa', '(But what about Mirabel?)', ""My dad Agustín, well, he's accident-prone but he means well"", '(But what about Mirabel?)', 'Hey, you said you wanna know what everyone does, I got sisters and cousins and (Mirabel!)', ""My primo Camilo won't stop until he makes you smile today (Mirabel!)"", 'My cousin Dolores can hear this whole chorus a mile away (Mirabel!)', ""Look! It's Mister Mariano, hey"", 'You can marry my sister if you wanna', ""But between you and me, she's kind of a prima donna"", ""Yo, I've said too much, and thank you but I really gotta go! (Mirabel!)"", ""My family's amazing! (Mirabel!)"", ""And I'm in my family, so (Mirabel!)"", 'Well']"
Kiss the Girl,Daveed Diggs,spotify:track:2f2F4z8BOi15hum9aEVDUP,"['Winds', 'Words', 'There you see her', 'Sitting there across the way', ""She don't got a lot to say"", ""But there's somet'ing about her"", ""And you don't know why"", ""But you're dying to try"", 'You wanna kiss the girl', 'Yes, you want her', 'Look at her, you know you do', 'Possible she want you too', 'Use your words, boy, and ask her', 'If the time is right and the time is tonight', 'Go on and kiss the girl', 'Sha-la-la-la-la-la, my, oh, my', 'Look like the boy too shy', ""Ain't gonna kiss the girl"", ""Sha-la-la-la-la-la, ain't that sad?"", ""Ain't it a shame? Too bad"", 'He gonna miss the girl', 'Hey, pull it back, Scuttle, pull it back!', ""Now's your moment (Ooh)"", ""Floatin' in a blue lagoon (Ooh)"", 'Boy, you better do it soon', 'No time will be better', ""She don't say a word"", ""And she won't say a word until ya"", 'Kiss the girl (Kiss the girl, kiss the girl)', ""Sha-la-la-la-la-la, don't be scared (Sha-la-la-la-la-la)"", 'You got the mood prepared (Sha-la-la-la-la-la)', 'Go on and kiss the girl (Woah, woah)', ""Sha-la-la-la-la-la, don't stop now (Sha-la-la-la-la-la)"", ""Don't try to hide it (Sha-la)"", 'How you wanna kiss the girl', 'Sha-la-la-la-la-la, float along (Sha-la-la-la-la-la)', 'And listen to the song (Sha-la)', 'The song say, ""Kiss the girl""', 'Sha-la-la-la-la-la, the music play (Sha-la)', 'Do what the music say', 'You got to kiss the girl', ""You've gotta kiss the girl"", ""Why don't you kiss the girl"", ""C'mon and kiss the girl""]"
