Track Name,Artist Name,URI,Lyrics
Into You,Ariana Grande,spotify:track:2meEiZKWkiN28gITzFwQo5,"[""But close ain't close enough 'til we cross the line, hey yeah"", ""So name a game to play and I'll roll the dice, hey"", 'Oh baby, look what you started', ""The temperature's rising in here"", 'Is this gonna happen?', 'Been waiting and waiting for you to make a move', 'Before I make a move', ""So, baby, come light me up, and, baby, I'll let you on it"", ""A little bit dangerous, but, baby, that's how I want it"", 'A little less conversation and a little more touch my body', ""'Cause I'm so into you, into you, into you"", ""Got everyone watchin' us, so, baby, let's keep this secret"", ""A little bit scandalous, but, baby, don't let them see it"", 'A little less conversation and a little more touch my body', ""'Cause I'm so into you, into you, into you (Ooh, yeah)"", 'This could take some time, hey', 'Made too many mistakes', 'Better get this right, right, baby', 'Oh, baby, look what you started', ""The temperature's rising in here"", 'Is this gonna happen?', 'Been waiting and waiting for you to make a move', 'Before I make a move', ""So, baby, come light me up, and, baby, I'll let you on it"", ""A little bit dangerous, but, baby, that's how I want it"", 'A little less conversation and a little more touch my body', ""'Cause I'm so into you, into you, into you"", ""Got everyone watchin' us, so, baby, let's keep this secret"", ""A little bit scandalous, but, baby, don't let them see it"", 'A little less conversation and a, little more touch my body', ""'Cause I'm so into you, into you, into you, oh yeah"", ""('Cause I'm so into you)"", 'Tell me what you came here for', ""'Cause I can't, I can't wait no more"", ""I'm on the edge with no control"", 'And I need, I need you to know', 'You to know, oh, woah, yeah', ""So, baby, come light me up (Light me up), and, baby, I'll let you on it"", ""A little bit dangerous (Dangerous), but, baby, that's how I want it (How I want it)"", 'A little less conversation and a little more touch my body', ""'Cause I'm so into you, into you, into you"", ""Got everyone watchin' us (Watchin' us), so, baby, let's keep this secret"", ""A little bit scandalous (Scandalous), but, baby, don't let them see it (Yeah)"", 'A little less conversation  and a little more touch my body', ""'Cause I'm so into you, into you, into you"", 'So come light me up', 'So come light me up, my baby', 'Little dangerous', 'A little dangerous, my boy (How I want it)', 'A little less conversation and a little more touch my body', ""'Cause I'm so into you, into you, into you""]"
Glad You Came,The Wanted,spotify:track:1OXfWI3FQMdsKKC6lkvzSx,"['My universe will never be the same', ""I'm glad you came (Came, came, came)"", 'You cast a spell on me, spell on me', 'You hit me like the sky fell on me, fell on me', 'And I decided you look well on me, well on me', ""So let's go somewhere no one else can see"", 'You and me', 'Turn the lights out now', ""Now, I'll take you by the hand"", 'Hand you another drink', 'Drink it if you can', 'Can you spend a little time?', 'Time is slipping away', 'Away from us, so stay', 'Stay with me, I can make', 'Make you glad you came', 'The sun goes down, the stars come out', 'And all that counts is here  and now', 'My universe will never be the same', ""I'm glad you came"", ""I'm glad you came"", 'You cast a spell on me, spell on me', 'You hit me like the sky fell on me, fell on me', 'And I decided you look well on me, well on me', ""So let's go somewhere no one else can see"", 'You and me', 'Turn the lights out now', ""Now, I'll take you by the hand"", 'Hand you another drink', 'Drink it if you can', 'Can you spend a little time?', 'Time is slipping away', 'Away from us, so stay', 'Stay with me, I can make', 'Make you glad you came', 'The sun goes down, the stars come out', 'And all that counts is here  and now', 'My universe will never be the same', ""I'm glad you came"", ""I'm glad you came"", '(Oh, oh, oh)', ""I'm glad you came"", 'So glad you came', ""I'm glad you came"", ""I'm glad you came"", 'The sun goes down, the stars come out', 'And all that counts is here  and now', 'My universe will never be the same', ""I'm glad you came""]"
Who Knew,P!nk,spotify:track:4pSPMXaCjbaV3VSzZQYC7H,"[""Uh-huh, that's right"", 'I took your words, and I believed', 'In everything you said to me', ""Yeah-huh, that's right"", 'If someone said three years from now', ""You'd be long gone"", ""I'd stand up and punch them out"", ""'Cause they're all wrong"", ""I know better 'cause you said forever"", 'And ever, who knew?', 'Remember when we were such fools', 'And so convinced and just too cool?', 'Oh no, no, no', 'I wish I could touch you again', 'I wish I could still call you, friend', ""I'd give anything"", 'When someone said count your blessings now', ""'Fore they're long gone"", ""I guess I just didn't know how"", 'I was all wrong', 'They knew better, still, you said forever', 'And ever, who knew?', '(Yeah, yeah)', ""I'll keep you locked in my head (In my head)"", 'Until we meet again (Meet again)', 'Until we, until we meet again', ""And I won't forget you, my friend"", 'What happened?', 'If someone said three years from now', ""You'd be long gone"", ""I'd stand up and punch them out"", ""'Cause they're all wrong and"", ""That last kiss, I'll cherish until we meet again"", 'And time makes it harder, I wish I could remember', 'But I keep your memory, you visit me in my sleep', 'My darling, who knew?', 'My darling, my darling, who knew?', 'My darling, I miss you', 'My darling, who knew?']"
Flowers,Miley Cyrus,spotify:track:0yLdNVWF3Srea0uzk55zFn,"[""We were right 'til we weren't"", 'Built a home and watched it burn', ""Mm, I didn't wanna leave you, I didn't wanna lie"", 'Started to cry, but then remembered I', 'I can buy myself flowers', 'Write my name in the sand', 'Talk to myself for hours', ""Say things you don't understand"", 'I can take myself dancing', 'And I can hold my own hand', 'Yeah, I can love me better than you can', 'Can love me better, I can love me better, baby', 'Can love me better, I can love me better, baby', 'Paint my nails cherry-red', 'Match the roses that you left', 'No remorse, no regret', 'I forgive every word you said', ""Ooh, I didn't wanna leave you, baby, I didn't wanna fight"", 'Started to cry, but then remembered I', 'I can buy myself flowers', 'Write my name in the sand', 'Talk to myself for hours, yeah', ""Say things you don't understand"", 'I can take myself dancing, yeah', 'I can hold my own hand', 'Yeah, I can love me better than you can', 'Can love me better, I can love me better, baby', 'Can love me better, I can love me better, baby', 'Can love me better, I can love me better, baby', 'Can love me better, I (Ooh, I)', ""I didn't wanna leave you, I didn't wanna fight"", 'Started to cry, but then remembered I', 'I can buy myself flowers (Uh-huh)', 'Write my name in the sand', 'Talk to myself for hours (Yeah)', ""Say things you don't understand (You never will)"", 'I can take myself dancing, yeah', 'I can hold my own hand', 'Yeah, I can love me better than', 'Yeah, I can love me better than you can', 'Can love me better, I can love me better, baby (Uh)', 'Can love me better, I can love me better, baby (Than you can)', 'Can love me better, I can love me better, baby']"
My House,Flo Rida,spotify:track:6Knv6wdA0luoMUuuoYi2i1,"['Hear a knock on the door and the night begins', ""'Cause we done this before, so you come on in"", 'Make yourself at my home, tell me where you been', 'Pour yourself something cold, baby, cheers to this', 'Sometimes you gotta stay in', 'And you know where I live', 'Yeah, you know what we is', 'Sometimes you gotta stay in, in', 'Welcome to my house', 'Baby, take control now', ""We can't even slow down"", ""We don't have to go out"", 'Welcome to my house', 'Play that music too loud', 'Show me what you do now', ""We don't have to go out"", 'Welcome to my house', 'Welcome to my house', 'Morning comes and you know that you wanna stay', ""Close the blinds, let's pretend that the time has changed"", 'Keep our clothes on the floor, open up champagne', ""Let's continue tonight, come on, celebrate (That's how we do)"", 'Sometimes you gotta stay in', 'And you know where I live (You know where I live)', 'Yeah, you know what we is (You know what we is)', 'Sometimes you gotta stay in, in (In, in)', 'Welcome to my house', 'Baby, take control now (Now)', ""We can't even slow down"", ""We don't have to go out (Out, out)"", 'Welcome to my house', 'Play that music too loud (Turn it up, turn it up)', 'Show me what you do now (Show me now)', ""We don't have to go out (Go out, go out, uh)"", ""Welcome to my house (It's my house, come on, bring a friend)"", 'Welcome to my house', 'Welcome to my duck-off, the crib, the spot, the pad', ""But my house is your house if you throwin' it back"", ""Excuse me if my home's draining the sad"", 'Soon as these happy faces land you can run with the cash', 'Homerun, slam dunk, touchdown pass', ""Mi casa es tu casa, so it ain't no holding back"", ""Another shot of vodka, you know what's in my glass"", ""It's my house, just relax"", 'Welcome to my house', 'Baby (Hey), take control now (Woo, woo)', ""We can't even slow down (Hit the brakes, hit the brakes, go out)"", ""We don't have to go out (Cheers to this)"", 'Welcome to my house', 'Play that music too loud (Turn it up)', 'Show me what you do now', ""We don't have to go out (Go out)"", '(Ayy, ayy) Welcome to my house', ""(Ayy, ayy) Welcome to my house (It's my house, my house)"", '(Ayy, ayy) Welcome to my house (What?)']"
Hot N Cold,Katy Perry,spotify:track:2AZXe8nq18mPITmPy5KJwQ,"['Yeah, you PMS', 'Like a bitch, I would know', 'And you overthink', 'Always speak cryptically', 'I should know', ""That you're no good for me"", ""'Cause you're hot, then you're cold"", ""You're yes, then you're no"", ""You're in, then you're out"", ""You're up, then you're down"", ""You're wrong when it's right"", ""It's black and it's white"", 'We fight, we break up', 'We kiss, we make up', ""(You) You don't really wanna stay, no"", ""(You) But you don't really wanna go-o"", ""You're hot, then you're cold"", ""You're yes, then you're no"", ""You're in, then you're out"", ""You're up, then you're down"", 'We used to be', 'Just like twins, so in sync', 'The same energy', ""Now's a dead battery"", ""Used to laugh (Used to laugh) 'bout nothing ('Bout nothing)"", ""Now you're plain (Now you're plain) boring (Boring)"", 'I should know (I should know)', ""That you're not gonna change"", ""'Cause you're hot, then you're cold"", ""You're yes, then you're no"", ""You're in, then you're out"", ""You're up, then you're down"", ""You're wrong when it's right"", ""It's black and it's white"", 'We fight, we break up', 'We kiss, we make up', ""(You) You don't really wanna stay, no (Oh)"", ""(You) But you don't really wanna go-o (Oh)"", ""You're hot, then you're cold"", ""You're yes, then you're no"", ""You're in, then you're out"", ""You're up, then you're down (Down)"", 'Someone call the doctor', 'Got a case of a love bipolar', 'Stuck on a roller coaster', ""Can't get off this ride"", 'You change your mind', 'Like a girl changes clothes', ""'Cause you're hot, then you're cold"", ""You're yes, then you're no"", ""You're in, then you're out"", ""You're up, then you're down"", ""You're wrong when it's right"", ""It's black and it's white"", 'We fight, we break up', 'We kiss, we make up', ""You're hot, then you're cold (Oh-oh-oh)"", ""You're yes, then you're no"", ""You're in, then you're out"", ""You're up, then you're down"", ""You're wrong when it's right (Oh-oh-oh)"", ""It's black and it's white"", 'We fight, we break up', 'We kiss, we make up', ""(You) You don't really wanna stay, no (Oh)"", ""(You) But you don't really wanna go-o (Oh)"", ""You're hot, then you're cold"", ""You're yes, then you're no"", ""You're in, then you're out""]"
Love Song,Sara Bareilles,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,"['The breathing gets harder, even I know that', ""Made room for me, it's too soon to see"", ""If I'm happy in your hands"", ""I'm unusually hard to hold on to"", 'Blank stares at blank pages', 'No easy way to say this', 'You mean well, but you make this hard on me', ""I'm not gonna write you a love song"", ""'Cause you asked for it, 'cause you need one"", ""You see, I'm not gonna write you a love song"", ""'Cause you tell me it's make or break in this"", ""If you're on your way"", ""I'm not gonna write you to stay"", ""If all you have is leavin', I'ma need a better reason"", 'To write you a love song today', '(Yeah) Today, yeah', 'I learned the hard way that they all say', 'Things you wanna hear', 'And my heavy heart sinks deep down under you', 'And your twisted words, your help just hurts', 'You are not what I thought you were', 'Hello to high and dry', 'Convinced me to please you', 'Made me think that I need this too', ""I'm trying to let you hear me as I am"", ""I'm not gonna write you a love song"", ""'Cause you asked for it, 'cause you need one"", ""You see, I'm not gonna write you a love song"", ""'Cause you tell me it's make or break in this"", ""If you're on your way"", ""I'm not gonna write you to stay"", ""If all you have is leavin', I'ma need a better reason"", 'To write you a love song today', 'Promise me', ""That you'll leave the light on"", 'To help me see', 'With daylight, my guide, gone', ""'Cause I believe there's a way"", 'You can love me because I say...', ""I won't write you a love song"", ""'Cause you asked for it, 'cause you need one"", ""You see, I'm not gonna write you a love song (Ooh)"", ""'Cause you tell me it's make or break in this, huh"", 'Is that why you wanted a love song? (Yeah)', ""'Cause you asked for it, 'cause you need one"", ""You see, I'm not gonna write you a love song (Write you a love song)"", ""'Cause you tell me it's make or break in this"", ""If you're on your way"", ""I'm not gonna write you (I want you) to stay"", ""If your heart is nowhere in it, I don't want it for a minute"", ""Babe, I'll walk the seven seas (Walk the seven seas)"", ""When I believe that there's a reason"", 'To write you (Write you) a love song today']"
Love You Like A Love Song,Selena Gomez & The Scene,spotify:track:3veFQzlEOTpcGGIbYPKdYq,"[""Every beautiful thought's been already sung"", ""And I guess right now, here's another one"", ""So your melody will play on and on with the best of 'em"", 'You are beautiful', 'Like a dream come alive, incredible', 'A centerfold miracle, lyrical', 'You saved my life again', 'And I want you to know, baby', 'I, I love you like a love song, baby', 'I, I love you like a love song, baby', 'I, I love you like a love song, baby', 'And I keep hitting repeat-peat-peat-peat-peat-peat (Oh)', 'I, I love you like a love song, baby (Oh)', 'I, I love you like a love song, baby (Oh)', 'I, I love you like a love song, baby (Oh)', 'And I keep hitting repeat-peat-peat-peat-peat-peat', 'Constantly', 'Boy, you play through my mind like a symphony', ""There's no way to describe what you do to me"", 'You just do to me what you do', ""And it feels like I've been rescued"", ""I've been set free"", 'I am hypnotized by your destiny', 'You are magical, lyrical, beautiful, you are', 'And I want you to know, baby', 'I, I love you like a love song, baby', 'I, I love you like a love song, baby', 'I, I love you like a love song, baby', 'And I keep hitting repeat-peat-peat-peat-peat-peat (Oh)', 'I, I love you like a love song, baby (Oh)', 'I, I love you like a love song, baby (Oh)', 'I, I love you like a love song, baby (I love you, I love you)', 'And I keep hitting repeat-peat-peat-peat-peat-peat (Like a love song)', 'No one compares', 'You stand alone to every record I own', ""Music to my heart, that's what you are (Ba-ba-baby)"", 'A song that goes on and on (And on)', 'I, I love you like a love song, baby', 'I, I love you like a love song, baby (I love you)', 'I, I love you like a love song, baby (I love you)', 'And I keep hitting repeat-peat-peat-peat-peat-peat (Like a love song, like a love song, oh)', 'I, I love you like a love song, baby (Oh)', 'I, I love you like a love song, baby (Oh)', 'I, I love you like a love song, baby (I love you)']"
As It Was,Harry Styles,spotify:track:4LRPiXqCikLlN15c3yImP7,"[""Gravity's holdin' me back"", 'I want you to hold out the palm of your hand', ""Why don't we leave it at that?"", ""Nothin' to say"", 'When everything gets in the way', 'Seems you cannot be replaced', ""And I'm the one who will stay, oh-oh-oh"", ""In this world, it's just us"", ""You know it's not the same as it was"", ""In this world, it's just us"", ""You know it's not the same as it was"", 'As it was, as it was', ""You know it's not the same"", 'Answer the phone', '""Harry, you\'re no good alone', 'Why are you sitting at home on the floor?', 'What kind of pills are you on?""', ""Ringin' the bell"", ""And nobody's coming to help"", 'Your daddy lives by himself', ""He just wants to know that you're well, oh-oh-oh"", ""In this world, it's just us"", ""You know it's not the same as it was"", ""In this world, it's just us"", ""You know it's not the same as it was"", 'As it was, as it was', ""You know it's not the same"", 'Go home, get ahead, light-speed internet', ""I don't wanna talk about the way that it was"", 'Leave America, two kids follow her', ""I don't wanna talk about who's doin' it first"", '(Hey)', 'As it was', ""You know it's not the same as it was""]"
Born This Way,Lady Gaga,spotify:track:6r2BECwMgEoRb5yLfp0Hca,"['Just put your paws up', ""'Cause you were born this way, baby"", 'My mama told me when I was young', '""We are all born superstars""', 'She rolled my hair and put my lipstick on', 'In the glass of her boudoir', ""There's nothing wrong with loving who you are"", 'She said, ""Cause He made you perfect, babe""', ""So hold your head up, girl, and you'll go far"", 'Listen to me when I say', ""I'm beautiful in my way"", ""'Cause God makes no mistakes"", ""I'm on the right track, baby"", 'I was born this way', ""Don't hide yourself in regret"", ""Just love yourself, and you're set"", ""I'm on the right track, baby"", 'I was born this way (Born this way)', ""Ooh, there ain't no other way"", 'Baby, I was born this way', 'Baby, I was born this way (Born this way)', ""Ooh, there ain't no other way"", 'Baby, I was born this way', 'Right track, baby', 'I was born this way', ""Don't be a drag, just be a queen"", ""Don't be a drag, just be a queen"", ""Don't be a drag, just be a queen"", ""Don't be (Don't be, don't be)"", 'Give yourself prudence and love your friends', 'Subway kid, rejoice your truth', 'In the religion of the insecure', 'I must be myself, respect my youth', 'A different lover is not a sin', 'Believe capital H-I-M, hey-hey-hey', 'I love my life, I love this record and', 'Mi amore vole fe yah (Same DNA)', ""I'm beautiful in my way"", ""'Cause God makes no mistakes"", ""I'm on the right track, baby"", 'I was born this way', ""Don't hide yourself in regret"", ""Just love yourself, and you're set"", ""I'm on the right track, baby"", 'I was born this way (Born this way)', ""Ooh, there ain't no other way"", 'Baby, I was born this way', 'Baby, I was born this way (Born this way)', ""Ooh, there ain't no other way"", 'Baby, I was born this way', 'Right track, baby', 'I was born this way', '(Way)', ""Don't be, don't be, don't be, d-"", '(Way)', 'Church', ""Don't be a drag, just be a queen"", ""Whether you're broke or evergreen"", ""You're Black, white, beige, cholo descent"", ""You're Lebanese, you're Orient"", ""Whether life's disabilities"", 'Left you outcast, bullied, or teased', 'Rejoice and love yourself today', ""'Cause baby, you were born this way"", 'No matter gay, straight, or bi', 'Lesbian, transgender life', ""I'm on the right track, baby"", 'I was born to survive', 'No matter Black, white, or beige', 'Chola or Orient made', ""I'm on the right track, baby"", 'I was born to be brave!', ""I'm beautiful in my way"", ""'Cause God makes no mistakes ('Cause God makes no mistakes)"", ""I'm on the right track, baby (Right track, baby)"", 'I was born this way (Born this way)', ""Don't hide yourself in regret"", ""Just love yourself, and you're set (Love yourself, and you're set)"", ""I'm on the right track, baby (Right track, baby)"", 'I was born this way, yeah', ""Ooh, there ain't no other way"", 'Baby, I was born this way', 'Baby, I was born this way (Born this way)', ""Ooh, there ain't no other way"", 'Baby, I was born this way', ""I'm on the right track, baby"", 'I was born this way', 'I was born this way, hey (Hey)', 'I was born this way, hey (I was born this way, hey)', ""I'm on the right track, baby"", 'I was born this way, hey (Born this way, hey)', 'I was born this way, hey (Hey)', 'I was born this way, hey (I was born this way, hey)', ""I'm on the right track, baby (Right track, baby)"", 'I was born this way, hey', 'Same DNA (Hey, hey, hey, hey)', 'But born this way (Hey, hey, hey, hey, hey, hey, hey, hey)', 'Same DNA (Hey, hey, hey, hey)']"
