Track Name,Artist Name,URI,Lyrics
Overcome,Nothing But Thieves,spotify:track:2YmJZWGcy0yONMCsEKOuVD,"[""The future's overdue"", 'Yeah, I know that', 'Turn the engine on', 'Our song blaring out a dead radio', 'Singing ""I Need To Know""', 'No turning back', ""I've been thinkin', babe, maybe you're right"", 'When you said the pain weathers in time', ""We're just waitin' for a change to follow"", ""We don't always get all that we want"", 'Redefine the pain to something more', ""And we shall overcome as we've done before"", 'Scrolling through a life', 'I barely rеcognised from a hotel room', 'Took in the lonеly view', 'Got unattached (Hey)', 'Bringer of the calm', 'Your arms wrapped around when the fever took', 'Thought I was gone for good', 'You brought me back', ""I've been thinkin', babe, maybe you're right"", 'When you said the pain weathers in time', ""We're just waitin' for a change to follow"", ""We don't always get all that we want"", 'Redefine the pain to something more', ""And we shall overcome as we've done before (Oh)"", ""It's when we lean in, into the moment"", ""It's when we're reachin' through the divide"", ""It's when we begin feelin' the open"", ""It's when the stranger's fallen behind"", 'When we shake off the darkness and harness the light', ""I've been thinkin', babe, maybe you're right"", 'When you said the pain weathers in time', ""We're just waitin' for a change to follow"", ""We don't always get all that we want"", 'Redefine the pain to something more', ""And we shall overcome as we've done before"", ""And we shall overcome as we've done before""]"
Rescued,Foo Fighters,spotify:track:3nDstVXtr6xbCZKs5Ka2rZ,"[""Oh, are you thinkin' what I'm thinkin'?"", ""Is this happenin' now?"", ""Oh, are you feelin' what I'm feelin'?"", ""This is happenin' now"", ""We're all free to some degree to dance under the lights"", ""I'm just waitin' to be rescued, bring me back to life"", 'Kings and queens and in-betweens, we all deserve the right', ""I'm just waitin' to be rescued, I'm just waitin' to be rescued"", ""We're all just waitin' to be rescued tonight"", ""I fell in a trap, my hеart's gettin' colder"", ""It's comin' on fast, it's over my shouldеr"", ""Oh, are you thinkin' what I'm thinkin'?"", ""Is this happenin' now?"", ""Oh, are you feelin' what I'm feelin'?"", ""This is happenin' now"", ""We're all free to some degree to dance under the lights"", ""I'm just waitin' to be rescued, bring me back to life"", 'Kings and queens and in-betweens, we all deserve the right', ""I'm just waitin' to be rescued, I'm just waitin' to be rescued"", ""We're all just waitin' to be rescued tonight"", 'To be rescued tonight', 'Rescue me tonight', 'Rescue me tonight', ""We're all free to some degree to dance under the lights"", ""I'm just waitin' to be rescued, bring me back to life"", 'Kings and queens and in-betweens, we all deserve the right', ""I'm just waitin' to be rescued, I'm just waitin' to be rescued"", ""We're all just waitin' to be rescued tonight"", 'To be rescued tonight', 'Rescue me tonight']"
SABOTAGE//,KennyHoopla,spotify:track:4Wkk6Soil0Oq5HZkbx73rd,"[""Show 'em the light and it goes bad, they all go blind"", ""I'm not positive I'm in love, but I know I'm your type"", 'The pictures never do justice', 'Pictures never do justice', 'Always find another way to ruin things', 'Through suffering and sabotage', 'As if this life was ever in your odds', 'It takes so long to fall apart', 'And all this hate is institutional', 'His heart is ruined from your sorrow', 'Her architecture always facial', ""A humble building 'til it crumbles"", 'The pictures nevеr do justice', 'The pictures nеver do justice', 'Always find another way to ruin things (Ruin things)', 'Through suffering (Suffering), and sabotage', 'As if this life was ever in your odds (In your odds)', 'It takes so long (It takes so long), to fall apart', ""It's like the whole world"", 'Went and jumped on top of my shoulders', 'Haunted houses that', ""I'm never scared to walk through with you"", 'Always find another way to ruin things (Always find another way)', 'Through suffering (Suffering), and sabotage', 'As if this life was ever in your odds (In your odds)', 'It takes so long (It takes so long), to fall apart', 'Always find another way to ruin things (Always find another way)', 'Through suffering (Suffering), and sabotage', 'As if this life was ever in your odds (In your odds)']"
Portrait of a Blank Slate,Lovejoy,spotify:track:7505qe0xzCuDPaILCURnOC,"['Pick up the phone call and do everything he says', 'I could take a plastic camera', 'We could make such a pretty picture', 'Oh, so happy, oh, oh, so happy', ""I'm pretty cool once you get to know me"", 'I feel at some point I broke my mind', ""I'm always searching, the silent type"", 'How do you all make it look so easy?', 'You open your hearts up so quickly, it scares me', ""She's an artist, paints across my chest"", 'Goes to parties, act like hotel guests', ""Wake up Monday, now it's over"", ""Don't you know no one gets what they came here for?"", 'I could paint her, wrapped around her', 'We could make such a pretty picture', 'Oh, so happy, oh, oh, so happy', ""I'm pretty cool once you get to know me"", ""But I'm just the same, I've got a boring name"", 'Across the world from what you want and what you came here for', ""So I'll wait here for you"", 'I said, ""Please, just let me stay""', 'Oh, just let me stay, oh', 'I guess you know now what to expect', 'He lives your own life in retrospect', 'You know it bores me? His insecurities', 'Breaks you down just to act as the architect', 'I could wait here, by the west pier', 'Watch the flotsam float, slowly disappear', 'Oh, so happy, oh, oh, so happy', 'If only you knew just how much better things could be', 'Another week of action', 'Another hypoglycemic reaction', '(Woo)', ""But I'm just the same, I've got a boring name"", 'Across the world from what you want and what you came here for', ""So I'll wait here for you"", 'I said, ""Please, just let me stay""', 'Oh, just let me stay', 'Oh, just let me', ""I'm sorry, it's all so predictable""]"
LosT,Bring Me The Horizon,spotify:track:5BgnL6gHauuvxe4Ok6W1aC,"['My dog just died, my friends hate me', 'I saw myself on MTV, and my ego is not my amigo (Yeah, yeah)', ""Oh, maybe I don't belong on this planet"", 'Red crescent moons all over my hands', ""It's too much to take, I can't understand it"", 'Someone tell me', 'Why am I this way?', ""Stupid medicine, not doin' anything"", 'What the hell is fucking wrong with me?', ""I guess there's no remedy, I'm so terribly lost"", 'Imaginary enemies, suicidal tendеncies', ""Serotonin's proper on its arsе, oh-oh"", 'I used to go to therapy, but the doctor tried to section me', 'The next time that I open up to someone will be my autopsy', 'Because', ""I don't think I belong on this planet"", 'Red crescent moons all over my hands', ""It's too much to take, I can't fucking stand it"", 'Someone tell me', 'Why am I this way?', ""Stupid medicine, not doin' anything"", 'What the hell is fucking wrong with me?', ""I guess there's no remedy, own worst enemy"", ""I'm so terribly lost"", 'If I keep this up', ""I think I'm gonna break down"", 'If I keep this up', ""I think I'm gonna break down"", 'Oh my God', ""I think I'm gonna break down"", 'Oh my God', ""I think I'm gonna break down"", '(Woah-oh-oh-oh)', ""I think I'm gonna break down"", '(Woah-oh-oh-oh)', 'Someone tell me', 'Why am I this way?', ""Stupid medicine, not doin' anything"", 'What the hell is fucking wrong with me?', ""I guess there's no remedy, I'm so terribly lost"", 'Why am I this way?', ""Stupid medicine, not doin' anything"", 'What the hell is fucking wrong with me?', ""I guess there's no remedy, own worst enemy""]"
Stuck,Thirty Seconds To Mars,spotify:track:1PYG9Akj0LAZZUDXzV9m1S,"[""She's a ghost and the truth, it's impossible"", 'But I love her lies', ""You make sure I don't find somebody new"", ""It's the way you move"", ""It's the way you move"", 'Ooh, ooh-ooh', ""I knew I'd stay with you after just one touch"", 'The way you move has got me', 'Stuck', 'Stuck', 'Got me', 'Stuck', 'Stuck', 'Got me', 'Stuck', 'I was lost and then found inside of a dream', ""Runnin' out of the circle, tryna believe"", ""She's a ghost and the truth, it's impossible"", 'But I lovе her lies', ""You make surе I don't find somebody new"", ""It's the way you move"", ""It's the way you move"", 'Ooh, ooh-ooh', ""I knew I'd stay with you after just one touch"", 'The way you move has got me', 'Stuck', 'Stuck', 'Got me', 'Stuck', 'Stuck', 'Got me', 'Stuck', 'Ram-dam, da-da-da, dam-dam', 'Ba-da-da-da-da, dam-dam', 'Ba-da-da-da-da, dam-dam-dam', 'Ram-dam, da-da-da, dam-dam', 'Ba-da-da-da-da, dam-dam', 'Ba-da-da-da-da, dam-dam-dam', ""It's the way you move"", ""It's the way you move"", 'Ooh-ooh, ooh-ooh', ""I knew I'd stay with you after just one touch"", 'The way you move has got me', 'Stuck', '(Ram-dam, da-da-da, dam-dam-dam)', 'Got me, got me stuck', '(Ba-da-da-da-da, dam-dam)', '(Ba-da-da-da-da, dam-dam-dam)', 'Got me, got me stuck', '(Ram-dam, da-da-da, dam-dam-dam)', 'Got me, got me stuck', 'Da-ba-da-da-da-da', '(Ba-da-da-da-da, dam-dam)', '(Ba-da-da-da-da, dam-dam-dam)']"
The Narcissist,Blur,spotify:track:35d93v9AXADp8Wc0qJ3mIo,"['I walked towards them', 'Into the floodlights', 'I heard no echo (No echo)', 'There was distortion everywhere (Everywhere)', 'I found my ego (My ego)', 'I felt rubato standing there', 'Found my transcendent (Transcendent)', 'It played in mono painted blue (Painted blue)', 'You were the Pierrot (The Pierrot)', 'I was the dark room (The dark room)', ""I'll be shining light in your eyes (In your eyes)"", ""You'll probably shine it back on me"", ""But I won't fall this time"", ""With Godspeed I'll heed the signs"", 'I saw the solstice (The solstice)', 'The service station on the road (On the road)', 'I took the acid (The acid)', 'Under the white horses (Down the road)', 'My heart it quickened (It quickened)', 'I could not tear myself away (Myself away)', 'Became addiction (Addiction)', 'If you see darkness look away (Look away)', ""I'll be shining light in your eyes (Look away, look away)"", ""You'll probably shine it back on me (Look away)"", ""But I won't fall this time"", ""With Godspeed I'll heed the signs"", 'Oh, glorious world (Glorious)', 'Oh, potent waves valleys gone wild (Potent waves)', 'Connect us to love (Us to love)', 'And keep us peaceful for a while (For a while)', ""I'll be shining light in your eyes (For a while, for a while)"", ""You'll probably shine it back on me (For a while)"", ""But I won't fall this time"", ""With Godspeed I'll heed the signs (In your eyes)"", ""I'll be shining light in your eyes (In your eyes, in your eyes)"", ""You'll probably shine it back on me (In your eyes)"", ""But I won't fall this time"", ""With Godspeed I'll heed the signs"", ""I won't fall this time""]"
Just Pretend,Bad Omens,spotify:track:1H4Y9uW4N0LsxJUz0VnaPJ,"[""I'm not okay"", 'But I can try my best to just pretend', 'So will you wait me out', 'Or will you drown me out?', 'So will you wait me out', 'Or will you drown me out?', '(I have to let you go)', 'I can wait for you at the bottom', 'I can stay away if you want me to', 'I can wait for years if I gotta', ""Heaven knows I ain't getting over you"", 'I know the pain', 'That you hide behind the smile on your face', 'And not a day', ""Goes by where I don't think I feel the same"", 'So will you wait me out', 'Or will you drown me out?', 'So will you wait me out', 'Or will you drown me out?', 'I can wait for you at the bottom', 'I can stay away if you want me to', 'I can wait for years if I gotta', ""Heaven knows I ain't getting over you"", ""We'll try again"", ""When we're not so different"", 'We will make amends', ""'Til then I'll just pretend"", ""Weigh down on me, stay 'til morning"", ""Way down, would you say I'm worthy?"", ""Weigh down on me, stay 'til morning"", ""Way down, would you say I'm worthy?"", 'I can wait for you at the bottom', 'I can stay away if you want me to', 'I can wait for years if I gotta', ""Heaven knows I ain't getting over you"", ""We'll try again"", ""When we're not so different"", 'We will make amends', ""'Til then I'll just pretend"", ""Weigh down on me, stay 'til morning"", ""Way down, would you say I'm worthy?"", ""Weigh down on me, stay 'til morning""]"
Emergency Contact,Pierce The Veil,spotify:track:4amltxLIfFmtYEvZbdgDqO,"['Hope you get the message', ""Nobody's shatter-resistant (Shit)"", 'Therapy is tiring', 'But so is hiding how you feel', 'You can bring the villainy', 'And I can bring the sex appeal', 'Leave me something', ""Or let me out, I'm starving"", 'Push me, pull me', 'Waiting for the start of', 'Things that I want, this happily-ever-after', 'You choke on your words, but you swallow them faster', ""I sleep on the couch while you're passed out in the back"", 'Just want you to be my еmergency contact', 'Balanced on a razor bladе', 'Lick you like a battery', ""Your speakers can't handle the bass"", 'But you look good under the LEDs', 'Leave me something', ""Or let me out, I'm starving"", 'Push me, pull me', 'Waiting for the start of', 'Things that I want, this happily-ever-after', 'You choke on your words, but you swallow them faster', ""I sleep on the couch while you're passed out in the back"", 'Just want you to be my emergency contact', ""You're my angel"", ""You're a fucking angel"", ""You're my angel"", 'All mine', 'Mine', 'Mine, mine', 'Mine', 'Leave me something', ""Oh, my God, I'm starving"", 'Push me, pull me', 'Waiting for the start of', 'Things that I want, this happily-ever-after', 'You choke on your words, but you swallow them faster', ""I sleep on the couch while you're passed out in the back""]"
Running Out Of Time,Paramore,spotify:track:5NRtdsFFlmyE8qDMgS08PE,"[""Didn't wanna show up to the party empty-handed, but I"", 'Ran out of time', ""Said I'd walk the dog a little further than the driveway tonight"", 'The extra mile', ""Thought I'd send a card with my condolences, but, damn, I"", 'Just ran out of time', 'Intentions only get you so far', ""What if I'm just a selfish prick? No regard, ah"", ""I'm always running out of time"", ""I'm always running out of time"", 'Never mind, I hit the snooze on my alarm twenty times', 'But I was just so tired', 'There was traffic, spilled my coffee, crashed my car, otherwise', 'Woulda been here on time', ""Shoulda, coulda, wouldn't matter, ultimate alibi"", ""You know it's a lie"", 'There was a fire (Metaphorically)', 'Be there in five (Hyperbolically)', 'Intentions only get you so far', '(It was on my list, I swear I meant to get to it)', 'A harsh reality to discover, ah', ""I'm always running out of time"", ""(She's always running out of time)"", ""I'm always running out of time"", 'Why we gotta be in a rush?', 'My watch is just for decoration, mm', 'Look, I showed up early for once', ""Now that's a new sensation, mm"", ""We're always running out of time"", ""(She's always running out of time)"", ""I'm always running out of time"", ""I'm always running out of time"", ""(She's always running out of time, out of time)""]"
